[2026-01-07 17:01:16,008] 20 root - INFO - Initiate the data ingestion
[2026-01-07 17:01:20,808] 73 root - INFO - Performed train test split
[2026-01-07 17:01:21,077] 90 root - INFO - Train and test files saved
[2026-01-07 17:01:21,078] 22 root - INFO - Data Ingestion completed
[2026-01-07 17:01:21,110] 27 root - INFO - Initiate the data validation
[2026-01-07 17:01:21,305] 35 root - INFO - Required number of columns:2
[2026-01-07 17:01:21,305] 36 root - INFO - data frame has columns:31
[2026-01-07 17:01:21,885] 29 root - INFO - Data Validation completed
[2026-01-07 17:01:21,917] 32 root - INFO - Data Transformation started
[2026-01-07 17:01:21,919] 52 root - INFO - Entered initiate-data_transformation method of DataTransformation class
[2026-01-07 17:01:21,919] 54 root - INFO - Starting data transformation
[2026-01-07 17:01:22,025] 38 root - INFO - Entered get_data_transformer_object method of Transformation class
[2026-01-07 17:01:22,025] 43 root - INFO - Initialise KNNimputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-01-07 17:01:22,086] 47 root - INFO - Entered the save_object method of MainUtils class
[2026-01-07 17:01:22,092] 51 root - INFO - Exited the save_object method of MainUtils class
[2026-01-07 17:01:22,093] 47 root - INFO - Entered the save_object method of MainUtils class
[2026-01-07 17:01:22,108] 51 root - INFO - Exited the save_object method of MainUtils class
[2026-01-07 17:01:22,168] 36 root - INFO - Data transformation completed
[2026-01-07 17:01:22,168] 38 root - INFO - Model Training stared
